wlmt,amazon,mcrsft,chevron
141.789993,84,239.820007,179.490005
143.869995,103.129997,247.809998,174.020004
142.130005,94.230003,249.419998,160.770004
147.449997,103.290001,288.299988,163.160004
150.970001,105.449997,307.26001,168.580002
146.869995,120.580002,328.390015,150.619995
157.179993,130.360001,340.540009,157.350006
159.860001,133.679993,335.920013,163.660004
162.610001,138.009995,327.76001,161.100006
159.929993,127.120003,315.75,168.619995
163.410004,133.089996,338.109985,145.729996
163.919998,140.600006,360.690002,141.940002
164.675705,140.809906,363.730011,142.460007
